user_id,stars,text,date
mF_3TEQpor7IkT4656M6Ng,5,"Great place for takeout! Highlights of the meal were the honey cakes (1000% recommend, are a great and light way to finish off your meal). Also loved the sticky rice ribs (糯米排骨). 

Can't wait to go back and try the dry pot sometime!",3/29/2021 0:35
G3Kxhq7gXBZRGK-lo7vPXg,5,"We love Debbie does Doberge so we had to try Debbie on the levee! We were not disappointed. The place has a cute retro diner vibe. We tried the risky biscuit which came with raspberry jam, bacon jam, and whipped butter, a fig and white chocolate dobite, and a slice of cookies and cream doberge. I loved the bacon jam (savory and sweet) as well as the raspberry jam (fresh and tart). The dobite (almost like a petit fore) was excellent as well- the sweetness was tame compared to their other flavors. Lastly, the cookies and cream doberge slice was heavenly. We will be back!",10/25/2020 17:05
CE06U3ug53ocDNICOo2xZw,5,"It's a nice family run restaurant, right next to Yats. Actually, I like it a lot more than Yats. The owner lady is also pretty nice. Yes, will be back soon.",8/21/2014 0:24
dhvQGkATeIvvkxoyYtjhig,1,"These guys come around every few months trying to sell me siding or windows. I entertained them one time thinking it could not hurt to get an estimate, but they would not just get down to the task of doing that. Instead the salesman put me on the phone with his supervisor. This seemed weird. After a few minutes of this it became clear they were using the kind of sales tactics designed to wear you down that other reviewers have mentioned. So I handed him back the phone. 

Since then they have knocked on my door at least twice. The most recent time I very politely told them I was not interested and even added ""Have a nice day. Stay safe."" But they would not take no for an answer and every time I tried to go back inside they kept trying to sell me. I don't appreciate being treated like just someone you can sell things to and told him that. Avoid this company.",8/15/2020 15:10
6jaYLFWJW3gj2qh4g_Yv3g,5,"La Caleñita this morning made me beat anyone's 800# mark.  We picked up friends around 9:45 AM.  We all live in the Center City on this day a nice quite drive of about 15-20 minutes. It was a beautiful sunny morning with a bit of wind reminding you that winter was just here and if that nature wants it can turn around and makes us miserable in a less than a blink of an eye (shouldn't that be blink of the eyes).

I would tell you that if you are looking for some fancy joint with ultra hot Latin Americans just slightly malnourished so that they fit in their designer outfits and a chic decor this would not be the place.  Is in Northeast Philadelphia on north 5th Street.  Small place hard to find unless you know the colors of the Colombian Flag decorated across the middle with the establishments name.  The group consisted of a good Colombian friend with her husband and my partner and I (also Hispanic).  
I would advise to invite a friend that knows to speak fluent Spanish or you can always point at what you want and go for it as you can see everything through a pastry showcase.  The establishment is set up as a bakery even thought you can get items that you would generally not expect to be served in one.  

If you order coffee make sure that you specify without sugar because all coffee served comes with it included. Of course it comes included I mean they already poured about seven spoons of sugar in your cup.

The food is truly authentic and made fresh. The place is so popular that they need to constantly refill their hot foods. Get there before the after church crowd arrives; trust me.

The tamales are the biggest one's I have seen from here to Bogotá, made with large pieces of chicken inside ,potatoes and peas. They melt in your mouth and are delicious.  
They prepare two kinds of  are arepas to keep it simple the white ones are not sweet and have been sliced through the middle to add the single most important food group: Cheese;  and the yellow ones are sweet.  There is Colombian chorizo which is like a mildly spicy Kielbasa not like the traditional Spanish one. Consider also the empanadas caleñas, orejitas, tres leches, etc. 

The cleanliness of the place is superb. The staff is friendly, courteous and attractive but not starved.  Very inexpensive so do not ignore the tip jar on the counter.  Tipping is not a place in China!!!

Is definite worth the trip!!!",4/5/2009 20:13
kxj7TPtJY2zbEjGV0PYfAA,3,"On my ""Visits to the Ballparks of America Tour,"" I recently visited Busch Stadium and quite enjoyed myself.  This stadium had all of the normal, modern amenities but there wasn't anything terribly unique about it, save for the view of the Arch that you get from certain seats and places in the stadium.  

I like stadiums that have things for people to do.  Yes, I like watching baseball games, but if it's two teams I don't necessarily care about, I like to be able to wander around and find things to do.  Unfortunately, Busch Stadium doesn't have much of that happening.  Just a lot of food and beer.

Not even any unique food choices, either.  Some ballparks have local specialties (Philly Cheesesteaks, Clam Chowdah, Elotes, etc.) and apparently Busch Stadium does not.  Only a ton of Budweiser brand beer.  

Tickets are at least cheap enough (this is still a stadium that offers standing-room only tickets and cheaply priced bleacher seats) that you can wander around with your cheap ticket and find another place to sit and no one will kick you out.

Glad I had the opportunity to go and, since it's so close, will probably be back again but this stadium isn't really anything special.",2/6/2016 4:22
f5KxH3YahdmVBgS1axPoWg,4,"We had no intentions on going to Snap for lunch on the day we went; the Beau and I had just been wandering south of the area, and after a long stroll through Philly's Magic Garden, we wanted something quick and simple. As we walked back to our hotel, Snap caught my eye. A tad hangry, I decided this was our option. I didn't go in expecting too much...but let me tell you, the bar was raised much beyond my expectations! 

The concept is similar to &pizza in NYC, I found: pick from a menu or pick your own custom toppings, and have it made in a flash! Within ten minute, I had ordered, had two pizzas, and was on my way out the door again! 

He ordered the Margherita, which was wonderfully made: sure, it's just tomatoes, fresh mozzarella, and basil, like any other, but the preparation of the crust really sold me on it! It was crisp yet doughy, despite its thinness. Great crust or go home! But...the Bianco Verde...THE BIANCO VERDE...OH. MY. GOD. I am a huge white pizza fan, but this was in another stratosphere! There was shredded mozzarella, housemade fresh mozzerella, ricotta, basil, and HERBED BUTTER. The butter sold it for me. I could have eaten it all by myself...well, I did, but I had to share two bites, which made me sad. Ha! 

This is definitely a place to get excellent pizza fast at a good price. Sitting here in NYC, I'm thinking about that Bianco Verde and wishing I was 100 miles to the south, eating it right now. Don't sleep on this place if you're in Philly! Absolutely worth it!",12/14/2017 18:45
fOpGUglEWv8uwLXIBEHbew,5,"Efrain Torres was our service tech for our new Sub Zero refrigerator when we had a WIFI issue when first registering the unit. He identified the issue and returned with the appropriate parts to remedy the situation.  He did a terrific job, showed up on time and fixed the problem.  We were pleased with both Efrain and High End Service.",1/13/2022 21:20
NNgQ8fV5ARQgHw-Ob7l50A,1,"Wanna get to your flight on time with the most possible stress? Then Central Airpark is for you. 

Let me set the scene for you - . It's cold out. You think to yourself that there's something strangely comical about arriving at an airport parking lot at 5AM only to see no shuttles in sight and no conceivable signs of life anywhere. As you wait a few minutes and lose faith in the arrival of your savior shuttle, you walk up to the toll window only to see nobody there and no sign indicating whether or not anyone will be there. You will call their phone number only to hear their phone ring from within the office and nobody will come out to assist you. Stricken with panic, you will run back to your car, temporarily forgetting how cold it is, temporarily forgetting all that's been lost about what used to be your humanity. You will pull up to the toll booth to see a heavy gate blocking your way. You will honk. You will honk hoping that the heavens (or at least someone with a way to open this damn gate) will hear you. You will contemplate ramming the gate and using Spot parking (right across the street and looking very much open) so that you can get to your flight on time. In a last ditch effort, you will try the door of the tollkeeper's office and cross the threshold. Inside the belly of the beast - Putting your physical presence inside of this office will awaken the gatekeeper from her humble slumber. She will look at you as if you are the one annoying her - as if you are the one who is possibly invalidating her 400 dollar plane ticket that is not exchangeable and not refundable. You will exchange quick words and she will assure you that the shuttle is on its way. Tired and unwilling to risk any more disappointment, you will reluctantly stay...

...and they will cancel your frequent parker's card. They will ignore any and all attempts for you to get it reactivated. They will conveniently forget that you've been parking here reliably for about 4 years. They will forget all the times you've forgiven them for taking 25 minutes to show up after picking up your luggage. Central Airpark is a poorly-run company with nothing but contempt for its customer base. I've rarely wanted a business to wither and die the way I want this one to.",12/17/2013 14:32
cImvLb3Wvd5EZ8SRjKAPsw,3,"I do not live in Edmonton anymore, but needed to get my mom's carpet cleaned.  I found this company to be reasonably priced and from the reviews they seem to do a good job.  My mother is a heavy smoker, so the house had nicotine stains underneath the sofas.  The owner, Dominic went to the house with another technician to do the carpet cleaning.  He did a good job removing the stains, but was not as attentive to the edges of the stairs and closets.  Overall, for the price, he didn't do a bad job.  I would recommend this carpet cleaning company to others.",9/2/2015 7:54
FXW16a1QddonpF-h3NtxPg,4,"I am really surprised that I have yet composed  a review for this place. I have been patronizing  this place for years since I started working in Philadelphia. I love the seasonal beers, the service here is top notch, and the staff is super friendly and very attentive to the needs of the customers. 

The menu at Pete's carries the usual bar items,  but it does not taste like your typical  bar food. In addition to the typical bar fare, the menu contains other specialty items like the empanadas that enhances the menu.  The fish & chips  is probably one of my favorite dishes. If you love french fries, you are going to love the french fries at Pete's. 

Please do yourself a favor and check out the specials board. This is where the daily soups are listed and other delicious items that are not on the menu.",9/27/2012 2:55
2uzH6U_kGVOBIIJoZOOUPw,4,"BEST CHICKEN SOUP EVER.

Seriously, the soup-making skills of Mama Jovan (let's call her that; I don't actually know her name) are OUT OF THIS FRIGGIN' WORLD. This soup will make you feel like your favorite grandma just hugged you and kissed you and covered you in a crocheted blanket on the couch while slipping you pieces of candy every hour on the hour. It's the cure-all, for sure. The ultimate better-than-your-mom's chicken soup. Fresh meat, flavorful broth, big hunks of carrot. Simple with no frills, as chicken soup should be. And it's served with nearly half a loaf of crusty bread. Oh, and lots of napkins. (Sometimes, I don't even buy napkins for my house when I run out; I call in a food order at Jovan's!)

Other wonderfully delicious items at Jovan's include the bruschetta and the burger. But be warned: the food is prepared as you order, which means it's going to take a while (but taste amazing). If you live nearby and pop in to order your food to-go, don't fret about waiting. Grab a drink at the bar and chat it up with the bartender. He's friendly, as are Mama and her husband, who both work the kitchen.

Gosh, all this talk of soup and burgers, I'm sort of glad we're having a chilly spell this week. It's perfect soup weather!",6/17/2009 16:17
sgKkDAxu7ttqQL2UXWouHQ,5,"The food was really delicious and the service was perfect!
The octopus salad is amazing, and all the other plates were very good and well designed!
The deserts were also very good.
We would definitely come back!",12/30/2021 12:24
5O3VvfDu_HDvgUviAqmTEA,3,"Not bad, not great. It's your basic, greasy, NY style Chinese food.  I used to get take-out here all the time when I lived next door in the Windjammer Condominiums.  The convenient location and cheap prices made me a loyal customer.

Wok N Roll runs nice special on the combo meals.  The Pork Fried Rice, Dumplings, and Egg Drop Soup are my favorite items on the menu.  A lot of their dishes taste similar such as the Kung Pao Chicken and the General Tso Chicken.",1/17/2013 19:48
B-myrIyhJqKjNUn-iiBAMQ,5,Always great service and good food at a reasonable price!!we have eaten there 3 times!,1/15/2022 2:03
IdDRNQCieTmQBG_MMoFjQg,4,"Want good food & views of the Inter Coastal, then look no further. Started off with a 1/2 dozen of oysters. Also had Blackened Mahi Tacos w/ fries. Everything was fresh & delicious. We sat outside & service was great. 
The inside bar looked like a great place to catch a game too. Check it out, you'll be glad you did.",1/15/2022 21:11
mMK0ZqT4Y6wmu5tuwPYVxw,1,"Camping World is absolutely inexcusably awful!!! My husband and I went there last night in search of a travel trailer. Geoff seemed to be a very nice and honest salesman at first. But as we were looking at thier inventory, I mentioned that I wanted to look at one other place before we made a decision. His demeanor suddenly changed and he started questioning me as to where else I wanted to look and why. I gave him the name of the other dealership and he his response was ""well we own them"". He then proceeded to express the fact that what we are looking for sells fast so we needed to make a decision
The pressure was on. I asked if we could all look at the inventory on line together and he was happy to help. Come to find out, my husband noticed that the search he did was customized to above our budget. Long story short we ended up giving them a HOLDING deposit of $500 and told that we needed to contact him when the financing got approved prior to them prepping it for sale.
We found a better trailer that would meet our family needs much better for a similar price at another dealership. When we called Geoff at Camping World to inform him of our new find, we were absolutely appalled at his response. He not only was absolutely disrespectful, he threatened to send us a bill for the work that had been done to the trailer, send our information to ""management"" prior to hanging up on us. Please keep in mind, we didn't request any work be done, we never signed any paperwork promising to buy the trailer. 
If that isn't bad enough, we stopped in to get our holding deposit check back and they refused to give it to back to us.
I'm not usually a person that complains about companies or customer service because I know we all have our bad days. But this is absolutely inexcusably wrong!!! Not to mention illegal!!! BBB will be getting a phone call about this.",4/17/2021 3:28
PGkMTm3hiermfR6TE498bw,5,"Such a fascinating and beautiful landmark in Doylestown. This is my favorite place to bring visitors...and no matter how many times I've been there, I always learn something new from each visit! Definitely a must see!",1/24/2012 4:36
5RHa6ARjqHnjkk2puc5y_w,3,"Buck-a-shuck Mondays!  I love how close there is a new oyster house so close to my work building.  It's such a pain getting to center city Oyster House and it's always packed for Happy hour.  Now there is another $1 oyster place in the city.  Doc Magrogan's recently opened and is part of a chain.  Their only weekly special so far is the $1 oysters on Mondays from 4-10pm.  They had four different oysters at this price!  Pretty good deal and the oysters were fresh and nicely shucked.  

We also tried some of their regular menu.  I love me some lobster roll but this was a bit disappointing for me.  Comparing to Oyster House, Doc's lobster roll was lacking.  Their bread to lobster ratio was off and didn't have as much flavor.  The crab cake was just alright.  I appreciate being able to see chunks of crab meat but it wasn't spectacular.  

I have been craving fish and chips for a long time (oh Codmother, I miss you).  Doc's fish and chips was pretty terrible.  The batter had absolutely no flavor.  Can you just imagine eating fried paper?  I had to douse it in tartar sauce.  What a shame.

Definitely come here for Buck-a-Shuck Mondays, everything else needs improvement.",8/7/2012 13:48
psAjVE1E1XEYyZ4yTfcdYA,5,"This place was everything I expected it to be. We went on a Friday for lunch and we were greeted as soon as we arrived. I ended up ordering the combo with the classic burger with fries and a drink. That ended up being just about$12 so it wasn't cheap but the quality was there to warrant the higher prices. And let's face it, you pay upwards of $8 at regular fast food places so this wasn't that far off. To me, a delicious burger is all about the bun. The brioche bun was fresh, spongy and tasty. All of the rest of the ingredients were good also. The fries were also really good thanks to all of the dipping sauces. My favorites were the sweet chili and bbq sauce. I'm not too into curry but if you are their Curry ketchup is amazing. I definitely plan on returning. Awesome burger!",2/5/2018 4:40
psAjVE1E1XEYyZ4yTfcdYA,3,"We came here for lunch since we heard they have an awesome lunch special. I honestly wish I could give this place 3.5 stars because I did not have a bad experience at all and I'd definitely return. 
We sat down right away and they brought us menus, then they took our drink orders. But the poor gal working there was there alone for about the first half hour that we were there so she was just trying to juggle 5 tables which I know is hard. But after she took our orders, reinforcements showed up, our food came out quickly PLUS she had 2 additional people to help with the lunch rush. I ordered the General Tso's chicken which came with veggies, fried rice, an egg roll and a soup for an extra $1! Everything was hot, delicious and fresh. Our office will be moving closer to Thai China Bistro so I hope to become a regular there very soon!",12/12/2017 23:08
